ID	ratios
gene1 	 -0.43256 
gene2 	 -1.6656 
gene3 	 0.12533 
gene4 	 0.28768 
gene5 	 -1.1465 
gene6 	 1.1909 
gene7 	 1.1892 
gene8 	 -0.037633 
gene9 	 0.32729 
gene10 	 0.17464 
gene11 	 -0.18671 
gene12 	 0.72579 
gene13 	 -0.58832 
gene14 	 2.1832 
gene15 	 -0.1364 
gene16 	 0.11393 
gene17 	 1.0668 
gene18 	 0.059281 
gene19 	 -0.095648 
gene20 	 -0.83235 
gene21 	 0.29441 
gene22 	 -1.3362 
gene23 	 0.71432 
gene24 	 1.6236 
gene25 	 -0.69178 
gene26 	 0.858 
gene27 	 1.254 
gene28 	 -1.5937 
gene29 	 -1.441 
gene30 	 0.57115 
gene31 	 -0.39989 
gene32 	 0.69 
gene33 	 0.81562 
gene34 	 0.71191 
gene35 	 1.2902 
gene36 	 0.6686 
gene37 	 1.1908 
gene38 	 -1.2025 
gene39 	 -0.01979 
gene40 	 -0.15672 
gene41 	 -1.6041 
gene42 	 0.2573 
gene43 	 -1.0565 
gene44 	 1.4151 
gene45 	 -0.80509 
gene46 	 0.52874 
gene47 	 0.21932 
gene48 	 -0.9219 
gene49 	 -2.1707 
gene50 	 -0.059188 
gene51 	 -1.0106 
gene52 	 0.61446 
gene53 	 0.50774 
gene54 	 1.6924 
gene55 	 0.59128 
gene56 	 -0.6436 
gene57 	 0.38034 
gene58 	 -1.0091 
gene59 	 -0.019511 
gene60 	 -0.048221 
gene61 	 4.3192e-05 
gene62 	 -0.31786 
gene63 	 1.095 
gene64 	 -1.874 
gene65 	 0.42818 
gene66 	 0.89564 
gene67 	 0.73096 
gene68 	 0.57786 
gene69 	 0.040314 
gene70 	 0.67709 
gene71 	 0.5689 
gene72 	 -0.25565 
gene73 	 -0.37747 
gene74 	 -0.29589 
gene75 	 -1.4751 
gene76 	 -0.234 
gene77 	 0.11844 
gene78 	 0.31481 
gene79 	 1.4435 
gene80 	 -0.35097 
gene81 	 0.62323 
gene82 	 0.79905 
gene83 	 0.94089 
gene84 	 -0.99209 
gene85 	 0.21204 
gene86 	 0.23788 
gene87 	 -1.0078 
gene88 	 -0.74204 
gene89 	 1.0823 
gene90 	 -0.1315 
gene91 	 0.38988 
gene92 	 0.087987 
gene93 	 -0.63547 
gene94 	 -0.55957 
gene95 	 0.44365 
gene96 	 -0.9499 
gene97 	 0.78118 
gene98 	 0.56896 
gene99 	 -0.82171 
gene100 	 -0.26561 
gene101 	 -1.1878 
gene102 	 -2.2023 
gene103 	 0.98634 
gene104 	 -0.51864 
